layer,sparsity_parameter,k_mode,trojan_type,record_ratio,clean_acc,trojan_acc,loop

[3],0.1,contig_best,original,0.5,0.9326999962329865,0.9415,19000
[3],0.1,contig_best,original,0.7,0.9326999962329865,0.9415,19000
[3],0.1,contig_best,original,0.9,0.9326999962329865,0.9415,19000
[3],0.1,contig_best,original,1.0,0.9326999962329865,0.9415,19000
[3],0.1,contig_best,original,1.1,0.9254999995231629,0.9434,-1
"[3, 4]",1.0,contig_best,original,0.5,0.985999995470047,0.9933,16000
"[3, 4]",1.0,contig_best,original,0.7,0.9862000048160553,0.993,11000
"[3, 4]",1.0,contig_best,original,0.9,0.9862000048160553,0.993,11000
"[3, 4]",1.0,contig_best,original,1.0,0.9862000048160553,0.993,11000
"[3, 4]",1.0,contig_best,original,1.1,0.9851000010967255,0.9923,-1
"[0, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 3]",1000,contig_best,original,0.7,0,0,0
"[0, 3]",1000,contig_best,original,0.9,0,0,0
"[0, 3]",1000,contig_best,original,1.0,0,0,0
"[0, 3]",1000,contig_best,original,1.1,0.09789999723434448,0.0545,-1
"[1, 2]",1000,contig_best,original,0.5,0,0,0
"[1, 2]",1000,contig_best,original,0.7,0,0,0
"[1, 2]",1000,contig_best,original,0.9,0,0,0
"[1, 2]",1000,contig_best,original,1.0,0,0,0
"[1, 2]",1000,contig_best,original,1.1,0.09769999980926514,0.055,-1
"[0, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 3]",1000,contig_best,original,0.7,0,0,0
"[0, 3]",1000,contig_best,original,0.9,0,0,0
"[0, 3]",1000,contig_best,original,1.0,0,0,0
"[0, 3]",1000,contig_best,original,1.1,0.09710000157356262,0.0525,-1
"[0, 3]",1000,contig_best,original,0.5,0,0,0
"[0, 3]",1000,contig_best,original,0.7,0,0,0
"[0, 3]",1000,contig_best,original,0.9,0,0,0
"[0, 3]",1000,contig_best,original,1.0,0,0,0
"[0, 3]",1000,contig_best,original,1.1,0.09670000076293946,0.0528,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.09760000109672547,0.0534,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.0981000006198883,0.0515,-1
[0],10,contig_best,original,0.5,0,0,0
[0],10,contig_best,original,0.7,0,0,0
[0],10,contig_best,original,0.9,0,0,0
[0],10,contig_best,original,1.0,0,0,0
[0],10,contig_best,original,1.1,0.0975000023841858,0.0546,-1
[0],10,contig_best,adaptive,0.5,0,0,0
[0],10,contig_best,adaptive,0.7,0,0,0
[0],10,contig_best,adaptive,0.9,0,0,0
[0],10,contig_best,adaptive,1.0,0,0,0
[0],10,contig_best,adaptive,1.1,0.09720000028610229,0.0492,-1
[0],10,sparse_best,original,0.5,0,0,0
[0],10,sparse_best,original,0.7,0,0,0
[0],10,sparse_best,original,0.9,0,0,0
[0],10,sparse_best,original,1.0,0,0,0
